2024-03-30 18:02:11,401 INFO    MainThread:23999 [wandb_setup.py:_flush():76] Current SDK version is 0.16.5
2024-03-30 18:02:11,402 INFO    MainThread:23999 [wandb_setup.py:_flush():76] Configure stats pid to 23999
2024-03-30 18:02:11,402 INFO    MainThread:23999 [wandb_setup.py:_flush():76] Loading settings from /Users/pranavnt/.config/wandb/settings
2024-03-30 18:02:11,402 INFO    MainThread:23999 [wandb_setup.py:_flush():76] Loading settings from /Users/pranavnt/src/pranavnt/tinystories/wandb/settings
2024-03-30 18:02:11,402 INFO    MainThread:23999 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-03-30 18:02:11,402 INFO    MainThread:23999 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-03-30 18:02:11,402 INFO    MainThread:23999 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'tinystories/train.py', 'program_abspath': '/Users/pranavnt/src/pranavnt/tinystories/tinystories/train.py', 'program': '/Users/pranavnt/src/pranavnt/tinystories/tinystories/train.py'}
2024-03-30 18:02:11,402 INFO    MainThread:23999 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-03-30 18:02:11,402 INFO    MainThread:23999 [wandb_init.py:_log_setup():527] Logging user logs to /Users/pranavnt/src/pranavnt/tinystories/wandb/run-20240330_180211-i9sorera/logs/debug.log
2024-03-30 18:02:11,402 INFO    MainThread:23999 [wandb_init.py:_log_setup():528] Logging internal logs to /Users/pranavnt/src/pranavnt/tinystories/wandb/run-20240330_180211-i9sorera/logs/debug-internal.log
2024-03-30 18:02:11,402 INFO    MainThread:23999 [wandb_init.py:init():567] calling init triggers
2024-03-30 18:02:11,402 INFO    MainThread:23999 [wandb_init.py:init():574] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.001, 'batch_size': 32, 'num_epochs': 3}
2024-03-30 18:02:11,402 INFO    MainThread:23999 [wandb_init.py:init():617] starting backend
2024-03-30 18:02:11,402 INFO    MainThread:23999 [wandb_init.py:init():621] setting up manager
2024-03-30 18:02:11,403 INFO    MainThread:23999 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-03-30 18:02:11,405 INFO    MainThread:23999 [wandb_init.py:init():629] backend started and connected
2024-03-30 18:02:11,408 INFO    MainThread:23999 [wandb_init.py:init():721] updated telemetry
2024-03-30 18:02:11,479 INFO    MainThread:23999 [wandb_init.py:init():754] communicating run to backend with 90.0 second timeout
2024-03-30 18:02:11,703 INFO    MainThread:23999 [wandb_run.py:_on_init():2344] communicating current version
2024-03-30 18:02:11,836 INFO    MainThread:23999 [wandb_run.py:_on_init():2353] got version response 
2024-03-30 18:02:11,836 INFO    MainThread:23999 [wandb_init.py:init():805] starting run threads in backend
2024-03-30 18:02:11,914 INFO    MainThread:23999 [wandb_run.py:_console_start():2323] atexit reg
2024-03-30 18:02:11,914 INFO    MainThread:23999 [wandb_run.py:_redirect():2178] redirect: wrap_raw
2024-03-30 18:02:11,914 INFO    MainThread:23999 [wandb_run.py:_redirect():2243] Wrapping output streams.
2024-03-30 18:02:11,914 INFO    MainThread:23999 [wandb_run.py:_redirect():2268] Redirects installed.
2024-03-30 18:02:11,914 INFO    MainThread:23999 [wandb_init.py:init():848] run started, returning control to user process
